lon       lat     depth  str    dip    slip  mag  plon  plat  label    
-62.457  10.659  95.9   74.0   45.0  101.5  4.5  -61.9  11.1  29/02/2020
-62.210  10.915  73.3   50.0   35.0  -52.6  4.8  -62.7  11.4  06/03/2020
-69.868  9.320    6.2   30.0   60.0 -162.4  5.0  -69.3  10.1  12/07/2020
-69.869  9.360    5.9  226.0   60.0 -157.0  4.3  -69.3   8.6  13/07/2020
-72.405  11.228 120.3  102.0   55.0  -80.0  5.3  -72.0  12.0  22/07/2020
-69.772  9.938	   5.0   57.0	80.0 -168.6  4.1  -70.6	 10.4  10/11/2020
-69.125 10.366	   5.0   33.0	30.0   90.0  4.4  -68.2	 11.1  20/11/2020
-69.119 10.334	   5.0   48.0	36.0  118.6  3.5  -68.6	  9.2  21/11/2020
-70.632  8.684	   2.8   44.0	75.0  130.2  4.4  -69.5   9.6  19/12/2020
-71.862   7.485    5.0   30.0   55.0   81.3  4.6  -71.3   8.0  23/03/2021
